ts_event,rtype,publisher_id,instrument_id,open,high,low,close,volume,symbol
2026-02-27 05:30:00+00:00,33,1,42140878,6906.0,6906.25,6905.75,6906.25,97,ES.c.0
2026-02-27 05:31:00+00:00,33,1,42140878,6906.25,6906.75,6906.25,6906.75,81,ES.c.0
2026-02-27 05:32:00+00:00,33,1,42140878,6906.75,6907.0,6906.5,6906.5,113,ES.c.0
2026-02-27 05:33:00+00:00,33,1,42140878,6906.5,6906.75,6905.75,6906.0,102,ES.c.0
2026-02-27 05:34:00+00:00,33,1,42140878,6906.0,6906.25,6905.5,6906.25,57,ES.c.0
2026-02-27 05:35:00+00:00,33,1,42140878,6906.25,6906.25,6905.25,6906.0,117,ES.c.0
2026-02-27 05:36:00+00:00,33,1,42140878,6905.75,6905.75,6904.25,6904.25,206,ES.c.0
2026-02-27 05:37:00+00:00,33,1,42140878,6904.25,6905.0,6904.0,6905.0,137,ES.c.0
2026-02-27 05:38:00+00:00,33,1,42140878,6904.75,6904.75,6903.75,6904.5,119,ES.c.0
2026-02-27 05:39:00+00:00,33,1,42140878,6904.5,6904.75,6904.25,6904.75,52,ES.c.0
2026-02-27 05:40:00+00:00,33,1,42140878,6905.0,6905.0,6904.25,6904.25,83,ES.c.0
2026-02-27 05:41:00+00:00,33,1,42140878,6904.5,6904.5,6903.75,6904.25,73,ES.c.0
2026-02-27 05:42:00+00:00,33,1,42140878,6904.5,6904.75,6904.25,6904.75,65,ES.c.0
2026-02-27 05:43:00+00:00,33,1,42140878,6904.75,6905.25,6904.5,6905.0,41,ES.c.0
2026-02-27 05:44:00+00:00,33,1,42140878,6904.75,6905.25,6904.75,6905.0,35,ES.c.0
2026-02-27 05:45:00+00:00,33,1,42140878,6905.25,6906.25,6905.0,6905.0,125,ES.c.0
2026-02-27 05:46:00+00:00,33,1,42140878,6905.25,6905.5,6905.0,6905.25,65,ES.c.0
2026-02-27 05:47:00+00:00,33,1,42140878,6905.25,6905.5,6904.75,6904.75,89,ES.c.0
2026-02-27 05:48:00+00:00,33,1,42140878,6904.75,6905.0,6904.5,6904.75,56,ES.c.0
2026-02-27 05:49:00+00:00,33,1,42140878,6904.75,6905.0,6904.75,6905.0,63,ES.c.0
2026-02-27 05:50:00+00:00,33,1,42140878,6904.75,6905.0,6904.5,6904.5,85,ES.c.0
2026-02-27 05:51:00+00:00,33,1,42140878,6904.5,6905.0,6904.25,6904.75,66,ES.c.0
2026-02-27 05:52:00+00:00,33,1,42140878,6904.75,6904.75,6904.0,6904.5,55,ES.c.0
2026-02-27 05:53:00+00:00,33,1,42140878,6904.5,6904.5,6902.5,6902.75,98,ES.c.0
2026-02-27 05:54:00+00:00,33,1,42140878,6903.0,6903.5,6903.0,6903.5,64,ES.c.0
2026-02-27 05:55:00+00:00,33,1,42140878,6903.75,6904.0,6903.25,6903.5,51,ES.c.0
2026-02-27 05:56:00+00:00,33,1,42140878,6903.5,6903.5,6902.0,6902.0,108,ES.c.0
2026-02-27 05:57:00+00:00,33,1,42140878,6902.25,6902.5,6901.75,6901.75,121,ES.c.0
2026-02-27 05:58:00+00:00,33,1,42140878,6902.0,6902.5,6901.5,6902.0,102,ES.c.0
2026-02-27 05:59:00+00:00,33,1,42140878,6902.0,6902.0,6901.0,6901.25,140,ES.c.0
2026-02-27 06:00:00+00:00,33,1,42140878,6901.5,6902.0,6901.5,6901.75,124,ES.c.0
2026-02-27 06:01:00+00:00,33,1,42140878,6901.75,6902.5,6901.75,6902.25,77,ES.c.0
2026-02-27 06:02:00+00:00,33,1,42140878,6902.25,6902.5,6901.25,6901.5,132,ES.c.0
2026-02-27 06:03:00+00:00,33,1,42140878,6901.25,6902.25,6901.0,6902.0,58,ES.c.0
2026-02-27 06:04:00+00:00,33,1,42140878,6902.25,6902.5,6901.5,6902.0,113,ES.c.0
2026-02-27 06:05:00+00:00,33,1,42140878,6901.75,6902.25,6901.5,6902.25,151,ES.c.0
2026-02-27 06:06:00+00:00,33,1,42140878,6902.0,6903.25,6901.0,6902.5,352,ES.c.0
2026-02-27 06:07:00+00:00,33,1,42140878,6902.5,6902.75,6901.75,6902.0,111,ES.c.0
2026-02-27 06:08:00+00:00,33,1,42140878,6901.75,6902.0,6901.25,6901.25,101,ES.c.0
2026-02-27 06:09:00+00:00,33,1,42140878,6901.25,6902.0,6901.25,6902.0,135,ES.c.0
2026-02-27 06:10:00+00:00,33,1,42140878,6902.0,6902.0,6900.5,6900.75,96,ES.c.0
